,0,1,2,3,hicp_unchained
2016-01-31,162.73785619807887,100.75981771505896,266.60436041131385,458.6140111229008,0.9887160454473525
2016-02-29,163.24659295976963,103.73712246793559,268.95048929732474,462.6754132359363,0.9986096179609663
2016-03-31,163.25035009542592,102.18180839469547,271.97200367531474,463.34784481144794,1.000752006976884
2016-04-30,164.68497593135413,102.29110258701408,271.9862723937515,469.54320769329155,1.0085055586054112
2016-05-31,164.37088105194985,103.75256085377914,272.18154899407097,468.1296946889428,1.0084346855887427
2016-06-30,163.4289685257233,103.74650639482512,271.346911324846,470.91759097583616,1.0094399772212308
2016-07-31,162.9432120983686,104.93964553372513,268.7181523702307,478.1741542691915,1.014775164271516
2016-08-31,163.68732804002732,102.14909533550421,270.08964795528107,480.80574636099084,1.0167318176918034
2016-09-30,163.7286637207351,101.47708749681578,272.5607324849267,475.05374985390563,1.0128202335563832
2016-10-31,164.37811489863395,102.99078537169693,274.14356431994935,474.1547574375544,1.0156672220278347
2016-11-30,163.93117609304193,105.22771347477783,273.5919667975693,463.95400222692876,1.0067048585923177
2016-12-31,160.64464307566683,98.82902931440465,269.2445582586702,464.1118684077085,0.9928300990564503
2017-01-31,165.70480510042628,102.23056214109283,265.7038660654807,455.4092911394217,0.9890485244464216
2017-02-28,166.96122420617894,104.51072583864469,265.7710317468452,457.79466204454906,0.995037643836218
2017-03-31,169.11558487189816,106.71760998997306,268.93779351911803,462.7198960514188,1.007490884432408
2017-04-30,167.34748154541026,105.84250143118153,271.2148547739995,458.8019427343381,1.0032067804849294
2017-05-31,166.24101883592073,107.27457729694898,270.20255887906154,468.2228519749399,1.011941006986871
2017-06-30,166.35595198960579,105.67923931108515,268.5810318137434,467.7343105904002,1.0083505337048346
2017-07-31,167.4627565001227,102.43982015671119,266.7356542939676,479.95061737174564,1.0165888483225471
2017-08-31,166.64026783175385,102.48281171176855,267.5578504323543,478.67661788415467,1.0153575478600314
2017-09-30,167.75346774949458,104.36759684058737,270.9948721361511,474.3867493035299,1.017502686029763
2017-10-31,167.74051102132307,106.40158664737511,272.04518863429354,472.3773979776813,1.018564684280673
2017-11-30,170.12671603436013,103.85342435918152,271.544446569454,460.6624239390495,1.0061870109020452
2017-12-31,165.20567220495022,107.22107705968013,267.58251163487625,462.31429560871084,1.0023235565082176
2018-01-31,169.00867974588604,104.79695218259019,264.55868113212273,452.5711694043336,0.9909354824649327
2018-02-28,171.42644101505394,104.5017606882376,265.1301202529594,456.41467810511347,0.9974730000613644
2018-03-31,167.34457323644082,102.95411524580888,269.30341750818974,458.8680734767679,0.9984701794672074
2018-04-30,169.4511546380353,104.10016936607296,268.59034599285843,465.43605679867716,1.0075777267956438
2018-05-31,170.20969962316283,103.39754588062534,268.58754321639975,462.5770714626709,1.0047718601828588
2018-06-30,170.36926499246692,106.30350965854532,266.51908683716505,474.8280348683217,1.018019896356499
2018-07-31,170.5444652430908,107.41158041821016,265.4114196986387,478.39833676379,1.0217658021237297
2018-08-31,169.7923894050302,107.97239928054921,265.51124014451267,481.0090724422058,1.0242851012722982
2018-09-30,169.9852147563943,109.69321418603234,268.86320742076146,474.19360801921584,1.022735244382404
2018-10-31,171.7150972385818,110.29033769298655,270.5926556917407,469.4922165761103,1.0220903071994192
2018-11-30,170.64547632251748,112.87726483170724,270.58566919886596,463.98223732422497,1.0180906476773157
2018-12-31,169.2296601475061,107.66299765663392,266.6795171349539,461.1794319904469,1.0047516069295408
2019-01-31,154.6276615390569,117.61620559946965,264.1978141340905,453.6180247705944,0.9900597060432114
2019-02-28,154.21309908078933,114.56481603048637,265.50008063227835,461.67613154095517,0.9959541272845093
2019-03-31,155.1735300146516,114.5153357752762,268.3282599371984,464.7848539327243,1.0028019796598506
2019-04-30,155.21557865316095,117.81983438784705,267.6325234824179,462.61449950634017,1.003282436029766
2019-05-31,155.0866177888681,121.01895908653233,268.5523815640432,475.12295565731296,1.0197809140967566
2019-06-30,155.48649103084682,120.73422560293082,267.7502825947674,470.3290295959651,1.01430002882451
2019-07-31,155.18351471482617,118.77960635984327,264.6637417559534,484.94010806371267,1.0235669708943356
2019-08-31,155.69897937319288,119.60342031039855,266.9727521069074,479.01898283138394,1.021294134621883
2019-09-30,157.1325097712558,120.05139385134117,269.6635181512177,473.74337021920223,1.0205907919930168
2019-10-31,156.17513939442938,119.02162502236489,269.9297249367737,474.99278459919,1.020119273952758
2019-11-30,155.76206682289504,120.07881619904622,269.92356666136936,461.36280406141816,1.007127253744729
2019-12-31,153.28111707247268,112.96056474636704,266.282878000024,463.0798296111432,0.995604389430007
2020-01-31,156.04418887777163,106.76882364364754,263.09756629482627,464.68888431146434,0.9905994631277097
2020-02-29,157.42624785372647,110.25256161492806,263.9348049763817,465.58425683533204,0.9971978712803684
2020-03-31,157.91248905802675,109.80930747610054,264.73107807262795,468.4667772046416,1.0009196518113967
2020-04-30,158.21386584676554,108.91258537796926,267.44124019073956,473.16931892804547,1.00773701034352
2020-05-31,160.1240864640106,105.67424279647405,266.25770709825275,473.1157346924768,1.0051717710512142
2020-06-30,160.11795007640129,101.73464721476871,264.98496471250587,478.9566696886802,1.005794231692356
2020-07-31,160.68898218206232,103.91228766133587,262.7265606863417,485.0755968212271,1.012403427350967
2020-08-31,157.10214621502658,102.51701833052819,259.5005679434205,484.56535542333773,1.0036850879123131
2020-09-30,156.83492652049043,102.95473393793728,262.76497186879857,479.53661984609863,1.002091252173325
2020-10-31,156.28172628334315,102.2621567171469,262.84145065677103,479.23785364794605,1.0006231873052072
2020-11-30,157.52595781575758,102.26248254716887,263.34944723467004,468.968481636644,0.9921063692342406
2020-12-31,156.40574774627308,107.71400034421636,267.19344717556623,470.49383282706265,1.0018070280931184
2021-01-31,175.62281534413998,109.58718899271086,272.73037700927546,436.44854005439447,0.9943889214005207
2021-02-28,179.60479022962275,112.64869020196575,280.3530491755797,445.89538255668265,1.0185019121638508
2021-03-31,178.66008730833033,112.68052666719511,283.01147174296364,445.5398689941682,1.0198919547126573
2021-04-30,181.0439287480214,113.80814470612265,281.8058694087519,450.5888116121264,1.0272467544750223
2021-05-31,181.79037302501786,115.54851957550719,281.5585448882379,448.96185395658716,1.0278592914453502
2021-06-30,181.21735981821993,119.08816643247765,281.17374983327244,456.1111585474853,1.0375904346314553
2021-07-31,176.76014943245409,117.70119263249337,276.9321791852348,458.3709289619114,1.0297644502120935
2021-08-31,180.77426384713425,119.46600486608902,282.6890149826835,456.03893346154456,1.0389682171574515
2021-09-30,180.59881677331444,119.48342504860722,285.43485589814827,453.4026224924309,1.038919720212501
2021-10-31,181.39934910545261,121.15562595351597,286.413713140226,453.61668692192404,1.0425853751211185
2021-11-30,181.25036795881704,124.4309987024981,286.9062022767735,446.30747296568154,1.0388950419037701
2021-12-31,171.95359534777478,109.86334337890693,272.27915337805615,443.31251445858163,0.9974086065633195
2022-01-31,174.89243210568435,126.1591734474895,270.30490707186647,439.1658647444206,1.010522377369461
2022-02-28,174.55523256209977,130.5736221974716,266.8248240097539,439.30606240657823,1.0112597411759034
2022-03-31,175.0823384442092,135.11671073852722,267.9821567027531,440.50172805617194,1.0186829339416614
2022-04-30,178.36217078599307,150.93190486808138,270.71109579237645,443.64444790535896,1.0436496193518099
2022-05-31,180.13519682470883,148.53964420021356,273.7987187811504,446.4267621039462,1.048900321910019
2022-06-30,183.18038916064333,152.97807412402648,275.3882174686816,447.73120135530684,1.0592778821086584
2022-07-31,185.4750559455673,154.8308015998264,275.104122526793,447.97350307358295,1.0633834831457698
2022-08-31,188.05919483227368,153.48952663005085,275.8283174436663,448.32258701916305,1.0656996259251539
2022-09-30,190.13171296938614,154.72812513355507,279.3496236189738,446.6916121622329,1.070901073884148
2022-10-31,192.78710775379338,170.5764015120745,281.14392858110455,453.413843491356,1.0979212813383283
2022-11-30,195.10440885671537,172.90580849656132,284.1705514549674,452.23642217971735,1.1044171909879614
2022-12-31,169.99829134843736,133.03992457453512,265.31186899519815,437.4506787356911,1.0058007636538617
